,text,original
0,sbitdifks,shitdicks
1,shitdKckQ,shitdicks
2,shitdicr8,shitdicks
3,8hitdicrs,shitdicks
4,shCiztdicks,shitdicks
5,sihiYtdicks,shitdicks
6,shitIizks,shitdicks
7,shitd5cis,shitdicks
8,shtidicsk,shitdicks
9,hsitdicsk,shitdicks
10,shidick,shitdicks
11,shitdks,shitdicks
12,Freastixl2s,breasticles
13,breQstjcPes,breasticles
14,6keastic1es,breasticles
15,6kea8ticles,breasticles
16,b7reasticlFeCs,breasticles
17,#brea*s&ticles,breasticles
18,broesticl$s,breasticles
19,areOTticles,breasticles
20,rbeastciels,breasticles
21,breastcisle,breasticles
22,breasice,breasticles
23,reasiles,breasticles
24,shitfucjm0th4rfucker,shitfuckmotherfucker
25,suitfuckmothereucksr,shitfuckmotherfucker
26,shitfuckmuthekfocker,shitfuckmotherfucker
27,shitfockmotherfockek,shitfuckmotherfucker
28,sh+itfuckmotlherfucNker,shitfuckmotherfucker
29,shitfueckm*otherNfucker,shitfuckmotherfucker
30,shi)fuckmoNherfucktr,shitfuckmotherfucker
31,shitfucuTotherfucUer,shitfuckmotherfucker
32,shtifuckmohterfuckre,shitfuckmotherfucker
33,hsitfukcmothefrucker,shitfuckmotherfucker
34,hitfuckmtherfuker,shitfuckmotherfucker
35,shtuckotherfucker,shitfuckmotherfucker
36,Fitvhers,bitchers
37,bitDheGs,bitchers
38,6itcher8,bitchers
39,6itcher8,bitchers
40,bit5chercs,bitchers
41,biYtPchers,bitchers
42,bHtc5ers,bitchers
43,b%t7hers,bitchers
44,bitchers,bitchers
45,btichres,bitchers
46,bitche,bitchers
47,bitcrs,bitchers
48,cocksju,cocksuk
49,cPc.suk,cocksuk
50,cock8ur,cocksuk
51,cucksok,cocksuk
52,cock$suEk,cocksuk
53,coUcFksuk,cocksuk
54,cocksf_,cocksuk
55,c0cksuP,cocksuk
56,ccoksku,cocksuk
57,occksku,cocksuk
58,cckuk,cocksuk
59,cocsu,cocksuk
60,lxdib*y,ladiboy
61,lxWiboy,ladiboy
62,1adib0y,ladiboy
63,1adi6oy,ladiboy
64,lladiboly,ladiboy
65,laVd+iboy,ladiboy
66,ZadiboC,ladiboy
67,t#diboy,ladiboy
68,ldaibyo,ladiboy
69,aldbioy,ladiboy
70,laboy,ladiboy
71,ldioy,ladiboy
72,MFerq,MFers
73,MTers,MFers
74,MFek8,MFers
75,MFek8,MFers
76,MF5ers,MFers
77,AMFers,MFers
78,MFer*,MFers
79,MFer$,MFers
80,FMers,MFers
81,MFesr,MFers
82,Mers,MFers
83,Mers,MFers
84,shitjeadq,shitheads
85,shitueadD,shitheads
86,8hithead8,shitheads
87,8hithead8,shitheads
88,shLitheadVs,shitheads
89,shitPhead6s,shitheads
90,ghithead@,shitheads
91,shiiheadW,shitheads
92,sihthaeds,shitheads
93,shtiheasd,shitheads
94,hitheas,shitheads
95,shiteas,shitheads
96,clusterE^ckiHg,clusterfucking
97,clusGerfuck(nV,clusterfucking
98,clostekfocking,clusterfucking
99,c1osterfocking,clusterfucking
100,XclustFerfAucking,clusterfucking
101,cylustFerfuckFing,clusterfucking
102,8lusterfuckizY,clusterfucking
103,cnustNrOucking,clusterfucking
104,clsutefrukcing,clusterfucking
105,lcutserfcuking,clusterfucking
106,clsterfukng,clusterfucking
107,clusteruing,clusterfucking
108,coc>licke#,cocklicker
109,cpckKicker,cocklicker
110,cock1icrer,cocklicker
111,cocklicrek,cocklicker
112,pcorcklicker,cocklicker
113,co2cklickzer,cocklicker
114,cocklLckVr,cocklicker
115,cocklxcke#,cocklicker
116,cckolicker,cocklicker
117,cokclicekr,cocklicker
118,ccklicer,cocklicker
119,oklicker,cocklicker
120,jJgrabopboo,jiggabooboo
121,jlggab*obo9,jiggabooboo
122,ji9gaboubuo,jiggabooboo
123,ji9ga60oboo,jiggabooboo
124,zjiggPaboooboo,jiggabooboo
125,rjiggNaboJoboo,jiggabooboo
126,ji)gabozQoo,jiggabooboo
127,iiggaOojboo,jiggabooboo
128,jgiagoboboo,jiggabooboo
129,jgiagbooboo,jiggabooboo
130,jiggabob,jiggabooboo
131,jigabobo,jiggabooboo
132,nig,nig
133,nig,nig
134,ni9,nig
135,ni9,nig
136,nig,nig
137,nig,nig
138,nig,nig
139,nig,nig
140,nig,nig
141,nig,nig
142,nig,nig
143,nig,nig
144,petet,peter
145,peyer,peter
146,petek,peter
147,petek,peter
148,p3eter,peter
149,petecr,peter
150,peTer,peter
151,prter,peter
152,pteer,peter
153,epter,peter
154,pter,peter
155,pete,peter
156,Oigsjit,pigshit
157,pirsh9t,pigshit
158,pi98hit,pigshit
159,pi98hit,pigshit
160,pigPsh_it,pigshit
161,CpigVshit,pigshit
162,pigsakt,pigshit
163,(dgshit,pigshit
164,ipgshti,pigshit
165,gpishit,pigshit
166,pigsi,pigshit
167,pigit,pigshit
168,ChoRfudgefucker,shitfudgefucker
169,Dhitfufgef tcker,shitfudgefucker
170,shitfudgefocrek,shitfudgefucker
171,shitfodgefockek,shitfudgefucker
172,shitfudgefucGkHeMr,shitfudgefucker
173,sheitAf4udgefucker,shitfudgefucker
174,shitHRdgefuc+er,shitfudgefucker
175,shitfudgyfUqker,shitfudgefucker
176,shitfdugfeukcer,shitfudgefucker
177,shiftugdefcuker,shitfudgefucker
178,shitfdgfucer,shitfudgefucker
179,shtfdgefcker,shitfudgefucker
180,jiza#s,jizzes
181,jizz4z,jizzes
182,ji22es,jizzes
183,jiz2e8,jizzes
184,jizDzYes,jizzes
185,jUizze9s,jizzes
186,ji$des,jizzes
187,ji4ces,jizzes
188,ijzzes,jizzes
189,ijzzse,jizzes
190,izes,jizzes
191,izzs,jizzes
192,qankiBg,wanking
193,wanuigg,wanking
194,wanrin9,wanking
195,wanrin9,wanking
196,wlaKnking,wanking
197,Gwan)king,wanking
198,wankWnC,wanking
199,waXkinp,wanking
200,wanikgn,wanking
201,awnikng,wanking
202,aking,wanking
203,wning,wanking
204,"phvc,ingw",phvckings
205,phvcoKngs,phvckings
206,phvcring8,phvckings
207,phvcrin9s,phvckings
208,$phv#ckings,phvckings
209,phvc9k#ings,phvckings
210,phvVking!,phvckings
211,phvvkdngs,phvckings
212,pvhcknigs,phvckings
213,pvhckigns,phvckings
214,phvings,phvckings
215,phvcngs,phvckings
216,wnkrr,wnker
217,wnuer,wnker
218,wnrek,wnker
219,wnrek,wnker
220,winker,wnker
221,wn_ker,wnker
222,wnkeg,wnker
223,Pnker,wnker
224,wkner,wnker
225,wnekr,wnker
226,wker,wnker
227,nker,wnker
228,azz,azz
229,azz,azz
230,a22,azz
231,a22,azz
232,azz,azz
233,azz,azz
234,azz,azz
235,azz,azz
236,azz,azz
237,azz,azz
238,azz,azz
239,azz,azz
240,pacm3rfudgeheaE,packerfudgehead
241,pZckerfudgehDZd,packerfudgehead
242,pacrekfodgehead,packerfudgehead
243,pacrerfod9ehead,packerfudgehead
244,pacBkerf)udg0ehead,packerfudgehead
245,pmackerfuVdg%ehead,packerfudgehead
246,YaBkerfudfehead,packerfudgehead
247,pa7kerfudgegexd,packerfudgehead
248,pckaerufdgehead,packerfudgehead
249,apkcerfudgeheda,packerfudgehead
250,packerfudgee,packerfudgehead
251,packerfehead,packerfudgehead
252,peckFrh@ad,peckerhead
253,peckwrheaw,peckerhead
254,pecrekhead,peckerhead
255,pecrekhead,peckerhead
256,peckjerheadd,peckerhead
257,peckeYrhe$ad,peckerhead
258,pewkerheaX,peckerhead
259,peCker!ead,peckerhead
260,peckehreda,peckerhead
261,pekcerehad,peckerhead
262,eckerhea,peckerhead
263,eckerhed,peckerhead
264,shSet,sheet
265,sheRt,sheet
266,8heet,sheet
267,8heet,sheet
268,shNeet,sheet
269,shHeet,sheet
270,shxet,sheet
271,Gheet,sheet
272,hseet,sheet
273,hseet,sheet
274,shet,sheet
275,shet,sheet
276,biYvhass,bitchass
277,b*tcGass,bitchass
278,6itchas8,bitchass
279,bitcha88,bitchass
280,bitch^a%ss,bitchass
281,bi_tbchass,bitchass
282,bPtchase,bitchass
283,bit%6ass,bitchass
284,ibtcahss,bitchass
285,bithcsas,bitchass
286,bichas,bitchass
287,bihass,bitchass
288,mIthetfxck,motherfxck
289,moRheFfxck,motherfxck
290,m0therfxcr,motherfxck
291,mothekfxcr,motherfxck
292,mothPerfxcjk,motherfxck
293,8moHtherfxck,motherfxck
294,moHherXxck,motherfxck
295,rotherfxcc,motherfxck
296,mohterxfck,motherfxck
297,moethrfxck,motherfxck
298,mthefxck,motherfxck
299,motherxc,motherfxck
300,knobRndA,knobendz
301,UMobendz,knobendz
302,rnubendz,knobendz
303,kno6end2,knobendz
304,kn)odbendz,knobendz
305,knobWenQdz,knobendz
306,Mnobendz,knobendz
307,puobendz,knobendz
308,nkboendz,knobendz
309,knobendz,knobendz
310,kobenz,knobendz
311,knoenz,knobendz
312,Soosh,doosh
313,doosU,doosh
314,d0o8h,doosh
315,duo8h,doosh
316,do*osh,doosh
317,dMoosh,doosh
318,doosR,doosh
319,dobsh,doosh
320,dosoh,doosh
321,dosoh,doosh
322,oosh,doosh
323,dosh,doosh
324,jacO*ff,jackoff
325,mackofG,jackoff
326,jacr0ff,jackoff
327,jacruff,jackoff
328,j)ackofwf,jackoff
329,j2aKckoff,jackoff
330,jackDPf,jackoff
331,zacsoff,jackoff
332,jcakoff,jackoff
333,jacokff,jackoff
334,akoff,jackoff
335,jacof,jackoff
336,YaVoff,jagoff
337,",agovf",jagoff
338,ja90ff,jagoff
339,ja90ff,jagoff
340,jago1fFf,jagoff
341,jagCof9f,jagoff
342,jag$fo,jagoff
343,^agof2,jagoff
344,jaogff,jagoff
345,jgaoff,jagoff
346,jaof,jagoff
347,agof,jagoff
348,cujz,cumz
349,cumX,cumz
350,com2,cumz
351,com2,cumz
352,cUumz,cumz
353,cu9mz,cumz
354,5umz,cumz
355,cuSz,cumz
356,ucmz,cumz
357,cuzm,cumz
358,cuz,cumz
359,umz,cumz
360,ragB3ads,ragheads
361,ragNeQds,ragheads
362,kaghead8,ragheads
363,ra9head8,ragheads
364,raghPead%s,ragheads
365,ragheGafds,ragheads
366,rag+eats,ragheads
367,rafAeads,ragheads
368,rgahedas,ragheads
369,agrheads,ragheads
370,rheads,ragheads
371,raghad,ragheads
372,shit3,shite
373,shitS,shite
374,8hite,shite
375,8hite,shite
376,shi6te,shite
377,sh6ite,shite
378,shit_,shite
379,svite,shite
380,shtie,shite
381,shiet,shite
382,hite,shite
383,shit,shite
384,shies4Frfhckface,shiesterfuckface
385,shifsterfuckGacR,shiesterfuckface
386,8hie8terfockface,shiesterfuckface
387,8hie8tekfuckface,shiesterfuckface
388,sfhiesterfGucfkface,shiesterfuckface
